"","condition","stimulus_number","trial_number","block_number","sequence","stimulus_position_in_trial","stimulus_id","stimulus_trigger_code","sequence_id","block_id"
"1470","unstructured",1470,182,6,"E2.B.F.C2.D.A1.F.C3.",6,"A1",1,24,7
"1471","unstructured",1471,182,6,"E2.B.F.C2.D.A1.F.C3.",7,"F",24,24,7
"1472","unstructured",1472,182,6,"E2.B.F.C2.D.A1.F.C3.",8,"C3",13,24,7
"1473","unstructured",1473,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1474","unstructured",1474,183,6,"C1.A1.F.B.C2.F.A3.B.",1,"C1",11,28,7
"1475","unstructured",1475,183,6,"C1.A1.F.B.C2.F.A3.B.",2,"A1",1,28,7
"1476","unstructured",1476,183,6,"C1.A1.F.B.C2.F.A3.B.",3,"F",24,28,7
"1477","unstructured",1477,183,6,"C1.A1.F.B.C2.F.A3.B.",4,"B",4,28,7
"1478","unstructured",1478,183,6,"C1.A1.F.B.C2.F.A3.B.",5,"C2",12,28,7
"1479","unstructured",1479,183,6,"C1.A1.F.B.C2.F.A3.B.",6,"F",24,28,7
"1480","unstructured",1480,183,6,"C1.A1.F.B.C2.F.A3.B.",7,"A3",3,28,7
"1481","unstructured",1481,183,6,"C1.A1.F.B.C2.F.A3.B.",8,"B",4,28,7
"1482","unstructured",1482,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1483","unstructured",1483,184,6,"D.E2.F.E1.C2.D.",1,"D",14,9,7
"1484","unstructured",1484,184,6,"D.E2.F.E1.C2.D.",2,"E2",22,9,7
"1485","unstructured",1485,184,6,"D.E2.F.E1.C2.D.",3,"F",24,9,7
"1486","unstructured",1486,184,6,"D.E2.F.E1.C2.D.",4,"E1",21,9,7
"1487","unstructured",1487,184,6,"D.E2.F.E1.C2.D.",5,"C2",12,9,7
"1488","unstructured",1488,184,6,"D.E2.F.E1.C2.D.",6,"D",14,9,7
"1489","unstructured",1489,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1490","unstructured",1490,185,6,"D.E3.A1.B.C1.E2.D.F.",1,"D",14,15,7
"1491","unstructured",1491,185,6,"D.E3.A1.B.C1.E2.D.F.",2,"E3",23,15,7
"1492","unstructured",1492,185,6,"D.E3.A1.B.C1.E2.D.F.",3,"A1",1,15,7
"1493","unstructured",1493,185,6,"D.E3.A1.B.C1.E2.D.F.",4,"B",4,15,7
"1494","unstructured",1494,185,6,"D.E3.A1.B.C1.E2.D.F.",5,"C1",11,15,7
"1495","unstructured",1495,185,6,"D.E3.A1.B.C1.E2.D.F.",6,"E2",22,15,7
"1496","unstructured",1496,185,6,"D.E3.A1.B.C1.E2.D.F.",7,"D",14,15,7
"1497","unstructured",1497,185,6,"D.E3.A1.B.C1.E2.D.F.",8,"F",24,15,7
"1498","unstructured",1498,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1499","unstructured",1499,186,6,"B.D.A3.E1.",1,"B",4,1,7
"1500","unstructured",1500,186,6,"B.D.A3.E1.",2,"D",14,1,7
"1501","unstructured",1501,186,6,"B.D.A3.E1.",3,"A3",3,1,7
"1502","unstructured",1502,186,6,"B.D.A3.E1.",4,"E1",21,1,7
"1503","unstructured",1503,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1504","unstructured",1504,187,6,"A2.E1.B.D.B.A2.E2.D.",1,"A2",2,13,7
"1505","unstructured",1505,187,6,"A2.E1.B.D.B.A2.E2.D.",2,"E1",21,13,7
"1506","unstructured",1506,187,6,"A2.E1.B.D.B.A2.E2.D.",3,"B",4,13,7
"1507","unstructured",1507,187,6,"A2.E1.B.D.B.A2.E2.D.",4,"D",14,13,7
"1508","unstructured",1508,187,6,"A2.E1.B.D.B.A2.E2.D.",5,"B",4,13,7
"1509","unstructured",1509,187,6,"A2.E1.B.D.B.A2.E2.D.",6,"A2",2,13,7
"1510","unstructured",1510,187,6,"A2.E1.B.D.B.A2.E2.D.",7,"E2",22,13,7
"1511","unstructured",1511,187,6,"A2.E1.B.D.B.A2.E2.D.",8,"D",14,13,7
"1512","unstructured",1512,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1513","unstructured",1513,188,6,"D.C2.E3.D.A1.B.E1.F.",1,"D",14,23,7
"1514","unstructured",1514,188,6,"D.C2.E3.D.A1.B.E1.F.",2,"C2",12,23,7
"1515","unstructured",1515,188,6,"D.C2.E3.D.A1.B.E1.F.",3,"E3",23,23,7
"1516","unstructured",1516,188,6,"D.C2.E3.D.A1.B.E1.F.",4,"D",14,23,7
"1517","unstructured",1517,188,6,"D.C2.E3.D.A1.B.E1.F.",5,"A1",1,23,7
"1518","unstructured",1518,188,6,"D.C2.E3.D.A1.B.E1.F.",6,"B",4,23,7
"1519","unstructured",1519,188,6,"D.C2.E3.D.A1.B.E1.F.",7,"E1",21,23,7
"1520","unstructured",1520,188,6,"D.C2.E3.D.A1.B.E1.F.",8,"F",24,23,7
"1521","unstructured",1521,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1522","unstructured",1522,189,6,"E1.B.C3.A2.B.F.D.A1.",1,"E1",21,18,7
"1523","unstructured",1523,189,6,"E1.B.C3.A2.B.F.D.A1.",2,"B",4,18,7
"1524","unstructured",1524,189,6,"E1.B.C3.A2.B.F.D.A1.",3,"C3",13,18,7
"1525","unstructured",1525,189,6,"E1.B.C3.A2.B.F.D.A1.",4,"A2",2,18,7
"1526","unstructured",1526,189,6,"E1.B.C3.A2.B.F.D.A1.",5,"B",4,18,7
"1527","unstructured",1527,189,6,"E1.B.C3.A2.B.F.D.A1.",6,"F",24,18,7
"1528","unstructured",1528,189,6,"E1.B.C3.A2.B.F.D.A1.",7,"D",14,18,7
"1529","unstructured",1529,189,6,"E1.B.C3.A2.B.F.D.A1.",8,"A1",1,18,7
"1530","unstructured",1530,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1531","unstructured",1531,190,6,"A3.F.C1.B.E1.D.",1,"A3",3,10,7
"1532","unstructured",1532,190,6,"A3.F.C1.B.E1.D.",2,"F",24,10,7
"1533","unstructured",1533,190,6,"A3.F.C1.B.E1.D.",3,"C1",11,10,7
"1534","unstructured",1534,190,6,"A3.F.C1.B.E1.D.",4,"B",4,10,7
"1535","unstructured",1535,190,6,"A3.F.C1.B.E1.D.",5,"E1",21,10,7
"1536","unstructured",1536,190,6,"A3.F.C1.B.E1.D.",6,"D",14,10,7
"1537","unstructured",1537,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1538","unstructured",1538,191,6,"E2.A1.C1.B.A3.D.F.B.",1,"E2",22,14,7
"1539","unstructured",1539,191,6,"E2.A1.C1.B.A3.D.F.B.",2,"A1",1,14,7
"1540","unstructured",1540,191,6,"E2.A1.C1.B.A3.D.F.B.",3,"C1",11,14,7
"1541","unstructured",1541,191,6,"E2.A1.C1.B.A3.D.F.B.",4,"B",4,14,7
"1542","unstructured",1542,191,6,"E2.A1.C1.B.A3.D.F.B.",5,"A3",3,14,7
"1543","unstructured",1543,191,6,"E2.A1.C1.B.A3.D.F.B.",6,"D",14,14,7
"1544","unstructured",1544,191,6,"E2.A1.C1.B.A3.D.F.B.",7,"F",24,14,7
"1545","unstructured",1545,191,6,"E2.A1.C1.B.A3.D.F.B.",8,"B",4,14,7
"1546","unstructured",1546,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1547","unstructured",1547,192,6,"A1.C3.A2.E3.F.B.D.B.",1,"A1",1,27,7
"1548","unstructured",1548,192,6,"A1.C3.A2.E3.F.B.D.B.",2,"C3",13,27,7
"1549","unstructured",1549,192,6,"A1.C3.A2.E3.F.B.D.B.",3,"A2",2,27,7
"1550","unstructured",1550,192,6,"A1.C3.A2.E3.F.B.D.B.",4,"E3",23,27,7
"1551","unstructured",1551,192,6,"A1.C3.A2.E3.F.B.D.B.",5,"F",24,27,7
"1552","unstructured",1552,192,6,"A1.C3.A2.E3.F.B.D.B.",6,"B",4,27,7
"1553","unstructured",1553,192,6,"A1.C3.A2.E3.F.B.D.B.",7,"D",14,27,7
"1554","unstructured",1554,192,6,"A1.C3.A2.E3.F.B.D.B.",8,"B",4,27,7
"1555","unstructured",1555,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1556","unstructured",1556,193,6,"C3.F.E1.C2.F.A2.D.B.",1,"C3",13,32,7
"1557","unstructured",1557,193,6,"C3.F.E1.C2.F.A2.D.B.",2,"F",24,32,7
